longitude,latitude,distance
101.4104,3.1384,9.803594126494893
101.4736,3.2422,21.658898683597773
101.4104,3.1384,9.803594126494893
101.4059,3.1249,9.036684139949374
101.3566,3.2063,10.636196234531106
101.3927,3.2288,14.622488774033892
101.4647,3.2784,23.804320002980145
101.4017,3.265,18.62827466330252
101.4869,3.1473,18.30940918338686
101.4644,3.1473,15.863917177988462
101.406,3.1565,10.057832231893734
101.4194,3.1067,10.532218596967978
101.3613,3.2877,19.512877924757944
101.4464,3.1474,13.923777505690321
101.424,3.17,12.524881322758437
101.334,3.1386,2.7043898370621555
101.3475,3.1566,5.159605874398464
101.379,3.1566,7.505147925399247
101.3928,3.2831,20.047469844646592
101.4467,3.2739,22.154674475548337
101.4779,3.1473,17.32940984959868
101.334,3.1341,2.24704361078687
101.3386,3.1702,6.213044697444984
101.3655,3.134,4.922024858485672
101.3745,3.134,5.8490732553720735
101.4375,3.1564,13.273958072990364
101.4601,3.2377,20.201654275502403
101.4644,3.1428,15.761733709762648
101.3252,3.238,13.565799223305005
101.4197,3.2514,18.363526368347344
101.4826,3.2422,22.429370360133873
101.4872,3.2602,24.111894776465753
101.4059,3.1158,8.982398116961152
101.4106,3.1926,12.762122929818227
101.4242,3.2694,20.30386167573371
101.469,3.1925,18.10991771039602
101.4868,3.1292,18.0244880095475
101.4916,3.2331,22.620131585284952
101.4239,3.1384,11.259748308315862
101.361,3.1611,6.412896872665118
101.3791,3.2153,12.569637871691596
101.4018,3.2695,19.079633630977483
101.4239,3.1429,11.380880293444534
101.3386,3.1973,9.16538246187181
101.496,3.2015,21.232833541744697
101.3699,3.1204,5.009210842066522
101.3972,3.2333,15.309462235988159
101.4059,3.1249,9.036684139949374
101.4512,3.2649,21.689655426580803
101.4512,3.2694,22.073968319871987
101.4827,3.2603,23.748603451779097
101.3566,3.1747,7.410325266672135
101.3928,3.2876,20.512090624943113
101.4061,3.1881,12.05618307832287
101.3701,3.1747,8.226603315325846
101.4062,3.2469,17.121108235396843
101.4062,3.2559,17.979597674582266
101.4197,3.2333,16.75315787814207
101.4646,3.2241,19.613905219569535
101.4959,3.1608,19.617730341961412
101.3252,3.2109,10.552421901298308
101.4735,3.1744,17.720307410891827
101.415,3.1655,11.408152217599566
101.4509,3.1202,13.986514796051218
101.4869,3.1563,18.525637447453185
101.3251,3.1748,6.5382711135759
101.442,3.188,15.259092842803906
101.4464,3.1293,13.559908767575793
101.4871,3.2286,21.923932636032553
101.3388,3.2832,18.65481284750509
101.4196,3.2243,15.979093466687184
101.4285,3.1655,12.741571842550309
101.4329,3.1338,12.142492523850983
101.325,3.1476,3.513759681968064
101.3701,3.1973,10.334270070008719
101.3793,3.2876,20.01071569073109
101.3879,3.1068,7.058377023950744
101.4017,3.2559,17.734362449442635
101.4195,3.1519,11.225935163011693
101.4464,3.1248,13.514520843566883
101.3386,3.1747,6.699522603211485
101.3612,3.2334,13.65896518631982
101.3927,3.2469,16.381538053385437
101.4375,3.1881,14.842083202895079
101.4962,3.2738,25.867874597709218
101.4377,3.2558,19.95510410535508
101.4782,3.2648,23.72884367374334
101.4824,3.1699,18.4749272453578
101.4869,3.1608,18.652955848138706
101.3835,3.1746,9.200267774708326
101.3341,3.1883,8.10263140037605
101.4104,3.1068,9.537072890089917
101.4466,3.2016,16.51872373742228
101.4779,3.1292,17.039794328486977
101.4241,3.2197,15.937963537615019
101.433,3.17,13.410373513124503
101.4373,3.1022,12.56287709183495
101.4735,3.1789,17.909695052739444
101.4018,3.2831,20.443625536766273
101.4197,3.2469,17.955578907007208
101.3295,3.125,1.1185457614805197
101.3343,3.2516,15.113343136705208
101.4239,3.1113,10.99337314915822
101.4825,3.2015,19.90394653915872
