longitude,latitude
101.3837,3.256
101.4153,3.274
101.3834,3.1159
101.3748,3.2696
101.3835,3.1656
101.3702,3.247
101.3969,3.1249
101.3881,3.1837
101.3836,3.1882
101.3927,3.2605
101.3701,3.2108
101.3835,3.1746
101.3835,3.143
101.3882,3.2379
101.3926,3.1927
101.4195,3.161
101.3701,3.1927
101.4195,3.17
101.3927,3.2334
101.3969,3.1158
101.4107,3.2604
101.379,3.1656
101.3789,3.1294
101.397,3.1701
101.4152,3.2333
101.4194,3.1248
101.3972,3.2424
101.3879,3.1294
101.3792,3.2289
101.4108,3.2785
101.3926,3.2062
101.3879,3.1204
101.4017,3.2605
101.3748,3.2605
101.397,3.161
101.3744,3.1249
101.3746,3.1746
101.4195,3.1474
101.415,3.152
101.4015,3.161
101.3882,3.2288
101.4018,3.2785
101.415,3.1746
101.3834,3.1204
101.379,3.1746
101.3838,3.2876
101.3882,3.2243
101.3791,3.2153
101.379,3.152
101.3925,3.1701
101.3837,3.2469
101.4151,3.2062
101.388,3.1385
101.3793,3.2831
101.3881,3.1927
101.3882,3.256
101.4196,3.2152
101.4196,3.2243
101.3926,3.1882
101.4197,3.274
101.4152,3.2649
101.3791,3.1792
101.3834,3.1249
101.3835,3.152
101.3882,3.2334
101.3925,3.1656
101.424,3.1565
101.3745,3.143
101.4059,3.1294
101.3789,3.1249
101.4239,3.1203
101.3835,3.1701
101.3703,3.2605
101.433,3.1519
101.4017,3.265
101.424,3.1655
101.3883,3.2876
101.4376,3.2287
101.4107,3.2333
101.4377,3.2513
101.4149,3.1339
101.4105,3.1836
101.3837,3.2243
101.3836,3.2063
101.4331,3.2197
101.4241,3.2288
101.3928,3.2876
101.415,3.1881
101.4149,3.1248
101.4105,3.17
101.3971,3.2198
101.4194,3.1158
101.397,3.1656
101.4014,3.1384
101.4241,3.2152
101.4017,3.2514
101.4151,3.2288
101.3882,3.2424
101.406,3.1791
101.397,3.1475
101.4061,3.2107
101.388,3.1565
101.4017,3.2424
101.3789,3.1159
101.4375,3.1926
101.4016,3.1927
101.3928,3.2786
101.433,3.1926
101.3882,3.2469
101.4014,3.1294
101.4331,3.2333
101.388,3.1701
101.3972,3.2514
101.397,3.1384
101.4376,3.2197
101.4017,3.2379
101.4287,3.2604
101.3971,3.1972
101.3927,3.265
101.3927,3.2243
101.4149,3.1203
101.4107,3.2424
101.3924,3.1294
101.4376,3.2378
101.4059,3.1203
101.4104,3.1429
101.4374,3.1293
101.406,3.1429
101.4419,3.1248
101.424,3.1791
101.4015,3.1701
101.4376,3.2242
101.4241,3.1971
101.4016,3.2243
101.4287,3.2559
101.4287,3.2739
101.4242,3.274
101.3972,3.2605
101.4332,3.2739
101.3969,3.1204
101.3883,3.274
101.4105,3.1791
101.4015,3.1475
